State,Crime_Info,Value,Category,Crime,Metric,Year
Maharashtra,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.9,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Manipur,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.5,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Meghalaya,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.4,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Mizoram,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Nagaland,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.2,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Odisha,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,3.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Punjab,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.4,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Rajasthan,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.2,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Sikkim,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.1,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Tamil Nadu,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.2,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Telangana,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.7,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Tripura,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,3.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Uttar Pradesh,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.6,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Uttarakhand,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.8,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
West Bengal,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.9,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
A&N Islands,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,4.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Chandigarh,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.4,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
D&N Haveli and Daman & Diu,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.3,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Delhi,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,2.2,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Jammu & Kashmir,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.0,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Ladakh,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.7,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Lakshadweep,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.5,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Puducherry,Offences affecting the Human Body_Murder (Sec.302 IPC)___R,1.2,Offences affecting the Human Body_Murder (Sec.302 IPC)_,,R,2021
Andhra Pradesh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,112.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Arunachal Pradesh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,3.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Assam,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,95.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
Bihar,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___I,136.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,I,2021
